articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2617258381,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617284359,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617206278,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617137679,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617206134,래미안공덕4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617138112,래미안공덕4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2617085069,래미안공덕4차,매매,5/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2617139277,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2615212572,래미안공덕4차,매매,5/20,25억,141,112,남동향,25억,597,20051117
2616857009,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2617007166,래미안공덕4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616936124,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616996032,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616723311,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2616723008,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2616778243,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
2616722037,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616722774,래미안공덕4차,매매,5/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616724424,래미안공덕4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616728533,래미안공덕4차,매매,5/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616722262,래미안공덕4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616783303,래미안공덕4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616836698,래미안공덕4차,매매,2/17,"19억 3,000",84,59,남서향,"19억 3,000",597,20051117
